#MaxRadius:0.89956	MaxHeight:600	MaxLength:100
32508
0.85809	0.84848	0.83962
0.75065	2.4332	0.74143
0.76872	3.9341	0.76588
0.81855	5.5016	0.81729
0.7323	7.0353	0.73069
0.79005	8.5418	0.78739
0.80539	10.123	0.78232
0.71127	12.109	0.70016
0.71201	13.518	0.70841
0.68628	14.907	0.68031
0.63309	16.219	0.63252
0.76972	17.61	0.76028
0.70276	19.07	0.69101
0.84813	20.593	0.83754
0.78512	22.219	0.77328
0.63189	23.618	0.62698
0.68481	24.918	0.78205
0.61452	26.195	0.61297
0.69506	27.491	0.68323
0.68867	28.858	0.68754
0.76904	30.296	0.7605
0.6731	31.716	0.66393
0.65198	33.029	0.65096
0.77928	34.441	0.76535
0.66731	35.853	0.65534
0.63146	37.132	0.62746
0.71057	38.454	0.70227
0.63078	39.78	0.62937
0.80526	41.193	0.78939
0.79291	42.773	0.77892
0.77529	44.306	0.76959
0.85948	45.902	0.85737
0.66646	47.382	0.66269
0.67544	48.691	0.66723
0.74389	50.082	0.73627
0.64525	51.449	0.63981
0.63872	52.722	0.63323
0.70742	54.053	0.69253
0.73217	55.47	0.72694
0.75509	56.934	0.7453
0.62758	58.295	0.62273
0.75522	59.592	1.0486
0.80499	61.12	0.79702
0.66332	62.566	0.64798
0.66767	63.894	0.66351
0.72964	65.281	0.72023
0.65248	66.644	0.6508
0.80134	68.072	0.7863
0.79313	69.84	0.78706
0.77134	72.123	0.77132
0.80285	73.895	0.78889
0.74311	75.425	0.73446
0.63125	76.79	0.62658
0.7372	78.16	0.73499
0.81762	79.701	0.80145
0.82381	81.317	0.80883
0.77387	82.896	0.76692
0.70738	84.358	0.70597
0.67024	85.706	0.86365
0.74917	87.104	0.76432
0.72613	88.563	0.71364
0.70228	89.983	0.68355
0.56703	91.221	0.56294
0.65252	92.412	0.65067
0.62449	93.662	0.61943
0.74612	95.003	0.73704
0.76754	96.494	0.75985
0.59215	97.823	0.58478
0.70263	99.096	0.70283
0.65074	0.70926	2.2983
0.5428	1.8216	1.8723
0.79202	3.1425	2.1057
0.64586	4.6353	1.9991
0.66323	6.0666	2.1779
0.59566	7.3126	2.0285
0.60872	8.5037	2.1789
0.71021	9.8133	2.2402
0.76197	11.231	1.8567
0.70881	12.674	2.0652
0.75418	14.122	2.0243
0.77121	15.629	1.9352
0.6763	17.047	2.0819
0.7647	18.479	2.0152
0.635	19.868	2.1262
0.70909	21.492	2.0695
0.64423	22.835	2.0534
0.63986	24.081	1.802
0.85244	25.502	2.2132
0.58204	26.854	1.7717
