#MaxRadius:0.89956	MaxHeight:200	MaxLength:100
10792
0.68281	18.996	4.6775
0.66142	20.322	4.5361
0.78104	21.755	4.4832
0.69118	23.033	5.2051
0.60455	24.112	4.5242
0.54831	25.171	4.9406
0.70932	26.389	4.6875
0.76746	27.847	4.5317
0.68942	29.284	4.7478
0.70102	30.626	5.0789
0.83305	32.113	4.7165
0.79437	34.062	4.8257
0.55027	35.374	4.5537
0.77882	36.638	5.1761
0.6113	37.621	4.2083
0.85219	39.901	4.6636
0.74006	41.29	3.8996
0.69632	42.647	4.3512
0.62032	43.881	4.7926
0.67449	45.158	4.9602
0.63427	46.38	5.3758
0.70488	47.67	5.0461
0.69968	49.216	4.8949
0.64168	50.658	4.7257
0.62848	51.904	4.4864
0.70872	53.234	4.6076
0.79046	54.727	4.6619
0.70278	56.287	4.4709
0.72852	57.71	4.5691
0.58365	59.158	4.4713
0.78009	60.588	4.7489
0.74965	62.088	4.5609
0.64164	63.447	4.3657
0.82046	64.851	4.7348
0.70948	66.336	4.4088
0.5907	67.634	4.4318
0.63354	68.828	4.701
0.61006	70.126	4.8713
0.78217	71.5	4.6503
0.77441	73.053	4.7059
0.71833	74.535	4.6238
0.65956	75.907	4.5826
0.55855	77.461	4.5415
0.80248	78.27	5.7358
0.60268	79.097	4.6065
0.69565	80.384	4.4927
0.80456	81.869	4.611
0.64654	83.298	4.8083
0.71371	84.648	4.7154
0.65109	86.051	4.5876
0.71203	87.8	4.4489
0.65152	89.147	4.6027
0.68748	90.481	4.5699
0.67625	91.816	4.8167
0.80614	93.546	4.6806
0.63069	94.98	4.7217
0.7046	96.39	4.5879
0.60943	97.7	4.5171
0.71557	98.655	5.6607
0.66898	99.525	4.6055
0.79443	0.81315	5.8281
0.59632	2.185	5.6539
0.76075	3.5048	5.9452
0.64525	4.8919	5.7539
0.70805	6.2386	5.8261
0.7906	7.7185	5.7014
0.76704	9.2611	5.5368
0.71544	11.193	5.7168
0.63534	12.822	6.324
0.75449	14.18	6.5561
0.73495	15.413	5.7402
0.69901	16.745	6.2631
0.69574	17.914	5.5047
0.71691	19.209	6.0562
0.5838	20.471	5.7699
0.81015	21.826	6.0694
0.67718	23.277	6.548
0.64096	24.347	5.7895
0.81174	25.75	6.1601
0.65942	27.171	5.801
0.64664	28.466	5.7985
0.82704	29.813	6.3696
0.70744	31.335	6.2765
0.76912	32.796	6.1613
0.65019	34.198	6.2449
0.62855	35.351	5.7255
0.68038	37.655	6.2157
0.66841	38.473	5.1556
0.8177	40.442	6.2244
0.62168	41.65	5.2132
0.72962	42.923	5.7394
0.80791	44.379	6.2014
0.59935	45.764	6.4425
0.69589	47.24	6.3722
0.66022	48.555	6.0745
0.62251	49.834	6.0571
0.66219	51.11	5.9424
0.67104	52.422	5.7188
0.77733	53.85	5.9588
0.76735	55.752	5.8242
0.54036	57.036	5.6393
0.71845	58.259	5.8995
0.62702	59.577	5.7077
0.76524	60.852	6.2547
0.68972	62.279	5.9865
0.71599	63.651	5.6937
0.73859	64.97	6.2848
0.79492	66.445	5.8829
0.7059	67.929	5.6934
0.74711	69.349	5.9787
0.73246	70.824	6.0017
0.69883	72.245	5.9285
0.7303	73.951	5.9473
0.58923	75.249	5.7151
0.83234	76.664	5.8369
0.71588	77.57	7.0794
0.6634	78.945	7.0369
0.70613	79.756	5.7385
0.696	81.13	5.8998
0.75635	82.56	6.0005
0.69573	83.993	5.9555
0.82658	85.502	5.9873
0.71565	86.973	5.5977
0.73362	88.401	5.7633
0.67803	89.808	5.7491
0.61912	91.097	5.8943
0.75432	92.666	5.9599
0.82564	94.226	6.1538
0.72385	95.732	5.8464
0.75699	97.206	5.7796
0.72598	99.399	6.8796
0.78655	0.78411	7.399
0.8351	2.371	7.0519
0.61779	4.1158	7.1732
0.77681	5.5007	7.1022
0.68428	6.9858	6.9963
0.742	8.639	6.9048
0.79125	10.161	6.8015
0.76956	11.687	7.1319
0.80975	13.151	7.7265
0.82905	15.574	7.2915
0.7316	17.087	7.6443
0.6117	18.095	6.7804
0.72771	19.209	7.4929
0.78013	20.662	7.1355
0.66936	22.301	7.4637
0.82148	24.06	7.8233
0.67946	25.709	7.6401
0.71192	27.01	7.1576
0.59218	28.462	7.0347
0.76316	29.487	7.9196
0.59401	30.75	7.4369
0.75381	32.091	7.5088
0.81352	33.642	7.5814
0.68203	35.086	7.2191
0.70984	36.332	6.6263
0.70998	37.378	7.5706
0.77487	38.97	6.8285
0.84904	40.218	7.8614
0.63372	41.846	6.5556
0.8156	43.162	7.264
0.68947	45.06	7.5201
0.73666	46.476	7.5721
0.61384	47.816	7.5359
0.66883	49.067	7.2879
0.75031	50.471	7.2664
0.77588	51.965	7.0891
0.72699	53.411	7.3954
0.81859	54.916	7.1453
0.76513	56.641	7.0689
0.65683	58.048	7.2474
0.66782	59.336	6.9741
0.67838	60.496	7.6416
0.69591	61.828	7.3287
0.72215	63.206	7.0502
0.80503	64.543	7.7627
0.73581	66.001	7.3309
0.6434	67.33	7.0006
0.74298	68.665	7.296
0.71143	70.108	7.2464
0.81311	71.628	7.3095
0.65528	73.056	7.0017
0.68255	74.3	7.4652
0.73859	75.625	6.9859
0.7273	76.806	8.2981
0.67228	78.196	8.3091
0.71671	80.322	7.0395
0.66033	81.695	7.1312
0.7322	83.06	7.3912
0.79531	84.586	7.3163
0.77389	86.148	7.4441
0.5421	87.299	6.8091
0.58572	88.108	7.5899
0.54556	89.159	6.7833
0.68445	90.372	6.9774
0.74679	91.779	7.1549
0.75716	93.252	7.3908
0.67251	95.07	7.3848
0.79683	96.51	7.144
0.69419	97.988	6.9938
0.62458	0.61773	8.79
0.64292	1.8084	8.3961
0.74694	3.3427	8.2872
0.7564	4.8255	8.4753
0.85919	6.4361	8.4374
0.61106	7.8277	7.9784
0.83997	9.2319	8.3558
0.65994	10.691	8.1394
0.68265	11.935	8.5834
0.68154	13.125	9.2119
0.58669	14.471	8.1743
0.60191	15.606	8.7187
0.7193	16.881	9.0612
0.76733	18.317	8.6852
0.73257	19.814	8.8044
0.81102	21.333	8.5721
0.70133	22.831	8.722
0.63591	25.131	8.8091
0.71781	26.479	8.8036
0.83631	27.963	8.3712
0.66216	29.069	9.3808
0.64784	30.327	9.0446
0.76225	31.722	8.9635
0.79001	33.257	9.1246
0.68996	34.783	8.5495
0.67687	36.105	8.1026
0.7307	37.189	8.9967
0.83808	38.645	8.4293
0.78766	41.098	9.2252
0.71669	41.776	7.8949
0.64027	42.677	8.9032
0.77724	44.056	8.5771
0.62262	45.688	8.6647
0.61614	47.268	8.669
0.73184	48.614	8.602
0.69222	50.035	8.6333
0.68621	51.398	8.4361
0.69279	52.759	8.6524
0.84406	54.295	8.6833
0.76276	55.871	8.3858
0.7848	57.406	8.522
0.67075	58.922	8.2469
0.82166	60.319	9.1142
0.74849	61.841	8.7645
0.68863	63.236	8.4578
0.59272	64.511	9.1497
0.67596	65.699	8.7042
0.70668	67.035	8.3144
0.57459	68.151	8.9185
0.66558	69.319	8.5315
0.73578	70.709	8.5551
0.61411	72.044	8.6644
0.66156	73.255	8.2995
0.74745	75.348	8.4306
0.64975	76.195	9.5305
0.71838	77.554	9.5331
0.74974	79.602	8.3002
0.63673	80.985	8.215
0.76119	82.3	8.6764
0.76483	83.822	8.6654
0.69043	85.267	8.6317
0.77001	86.694	8.88
0.6844	88.129	8.8585
0.81948	89.408	8.1168
0.85407	91.006	8.5434
0.5983	92.454	8.4842
0.72532	93.441	9.3635
0.59133	94.224	8.3117
0.75107	95.921	8.5551
0.64453	98.755	8.0828
0.67679	99.433	9.2046
0.675	1.0183	10.015
0.72049	2.5632	9.5116
0.60512	3.9558	9.5349
0.64981	5.3156	9.79
0.76582	6.7073	10.033
0.73986	8.0051	9.3128
0.70078	9.3709	9.8896
0.65856	10.656	9.4471
0.68005	11.908	9.9444
0.68713	13.451	10.528
0.7492	14.512	9.5071
0.67394	15.847	9.9699
0.65631	17.846	10.025
0.70309	19.19	10.087
0.81647	20.704	10.062
0.58518	22.069	9.7575
0.65865	23.233	10.191
0.57984	23.998	9.2228
0.81056	24.942	10.235
0.67947	26.428	10.196
0.72426	27.799	9.9175
0.80751	30.209	10.491
0.63709	31.638	10.347
0.75644	32.995	10.64
0.70113	34.516	9.907
0.69909	35.837	9.4439
0.6426	36.848	10.324
0.59822	38.241	9.8047
0.78196	39.616	9.711
0.63045	40.722	10.587
0.6426	42.128	10.189
0.78442	43.533	10.037
0.73338	45.022	9.8309
0.72636	46.477	9.7534
0.7059	47.898	9.8389
0.72924	49.328	9.8585
0.55366	50.744	9.6547
0.6669	51.959	9.7498
0.74748	53.357	9.9607
0.59594	55.092	9.8732
0.80303	56.488	9.8085
0.77265	58.051	9.9306
0.58661	59.38	10.137
0.72718	60.174	11.172
0.84196	61.474	10.304
0.65142	62.85	9.7337
0.74174	64.069	10.4
0.66934	65.425	10.015
0.72411	67.031	9.7367
0.71599	68.398	10.176
0.82757	69.909	9.896
0.67569	71.402	9.7779
0.75896	72.836	9.7717
0.70201	74.196	9.2765
0.61381	75.489	10.568
0.71498	76.803	10.75
0.67232	78.94	9.5587
0.89038	80.495	9.6579
0.69815	82.006	10.104
0.76613	83.459	10.132
0.62786	84.825	9.8722
0.66768	86.083	10.17
0.70805	87.626	10.144
0.7328	89.049	9.9323
0.67195	90.45	9.9928
0.85872	91.976	9.932
0.7523	94.176	10.644
0.66247	94.819	9.4038
0.68593	96.775	9.704
0.74842	97.405	8.3919
0.68761	98.141	9.613
0.71256	0.85267	11.474
0.7007	2.1053	10.841
0.55076	3.2994	10.532
0.63868	4.4432	10.735
0.72009	5.7175	11.114
0.71325	7.0889	11.483
0.68678	8.2492	10.71
0.6831	9.491	11.271
0.71392	10.798	10.801
0.85316	12.216	11.445
0.68685	13.686	11.87
0.77809	14.839	10.995
0.64298	16.836	10.825
0.7126	18.41	11.266
0.74424	19.856	11.361
0.81047	21.839	11.21
0.56191	23.186	11.407
0.60529	24.34	11.506
0.74681	25.848	11.494
0.75486	27.328	11.312
0.74703	28.815	11.159
0.58013	30.467	11.853
0.78706	31.83	11.747
0.64676	33.232	12.014
0.66482	34.278	11.245
0.71942	35.586	10.827
0.80159	36.708	11.828
0.67092	37.947	11.035
0.73638	39.342	11.192
0.7315	40.666	11.942
0.78214	42.124	11.599
0.58826	43.47	11.394
0.57556	44.572	11.056
0.67997	45.816	10.991
0.70264	47.188	11.048
0.69559	48.578	11.061
0.75628	50.357	10.904
0.58218	51.688	10.967
0.76774	52.956	11.414
0.61567	54.299	10.945
0.73447	55.644	11.076
0.83088	57.189	11.276
0.72164	58.73	11.26
0.75795	60.678	12.556
0.63779	61.802	11.736
0.63268	62.841	11.014
0.66888	63.882	11.789
0.66724	65.138	11.318
0.61196	66.36	10.883
0.77903	67.628	11.449
0.75459	69.225	11.386
0.69211	70.656	11.21
0.72184	72.043	11.008
0.58702	73.338	11.016
0.54691	74.339	10.505
0.66985	75.882	11.782
0.68598	78.205	10.77
0.72737	79.595	10.994
0.66483	80.976	11.129
0.69531	82.286	11.464
0.71634	83.68	11.577
0.78708	85.146	11.273
0.69296	86.845	11.291
0.66893	88.335	11.322
0.75533	89.756	11.24
0.82304	91.315	11.466
0.72055	92.837	11.243
0.74613	95.258	11.748
0.58566	95.498	10.441
0.77209	96.647	11.151
0.76799	98.172	11.057
0.72254	99.578	10.587
0.80155	0.78804	12.983
0.76161	2.1775	12.282
0.56821	3.4752	11.701
0.6605	4.6327	12.152
0.80143	6.0472	12.579
0.73542	8.3687	12.134
0.64119	9.6554	12.58
0.66651	10.889	12.174
0.63523	11.447	13.343
0.75662	12.766	12.956
0.71051	14.657	12.858
0.5773	15.992	11.697
0.75133	17.251	12.148
0.80199	19.214	12.761
0.79155	20.88	12.487
0.62986	22.294	12.574
0.69128	23.612	12.58
0.68438	24.978	12.615
0.70444	26.743	12.645
0.77082	28.214	12.548
0.66732	29.632	12.779
0.67069	31.043	12.963
0.74754	32.447	13.149
0.76615	33.986	13.199
0.67379	35.24	12.171
0.7392	35.439	13.561
0.80087	36.958	13.403
0.72193	38.102	12.413
0.65258	39.451	12.565
0.74131	41.645	13.042
0.79904	43.203	12.738
0.78738	44.765	12.406
0.76204	46.421	12.288
0.62417	47.882	12.183
0.7661	49.464	12.21
0.81688	51.034	12.305
0.6098	52.396	12.671
0.65154	53.638	12.65
0.68566	54.877	12.246
0.71175	56.234	12.472
0.5874	58.065	12.387
0.6401	59.287	12.491
0.66535	59.815	13.678
0.54485	61.013	13.812
0.74723	62.077	13.083
0.6767	63.494	13.068
0.84022	64.983	12.813
0.58128	66.171	12.05
0.75327	67.184	12.907
0.74601	68.671	12.775
0.772	70.171	12.583
0.73062	71.661	12.391
0.66354	73.044	12.23
0.78283	74.432	11.823
0.74895	77.517	12.023
0.80883	79.091	12.439
0.62257	80.513	12.324
0.65578	81.734	12.691
0.7216	83.092	12.881
0.79067	84.595	12.749
0.72529	86.073	12.465
0.72616	87.584	12.496
0.72663	89.032	12.531
0.74807	90.481	12.782
0.77676	92.407	12.671
0.60217	93.935	11.962
0.63849	95.149	13.125
0.74603	96.444	12.649
0.68407	97.855	12.467
0.77144	99.334	12.052
0.69389	0.69233	14.465
0.81247	2.1574	13.854
0.74783	3.4713	13.021
0.79737	4.8636	13.634
0.65614	6.2563	14.012
0.70117	7.4048	13.192
0.80154	8.7932	13.742
0.64886	10.238	13.716
0.70037	12.329	14.338
0.70307	13.802	13.974
0.76373	15.247	14.207
0.70902	16.058	12.974
0.74778	17.863	13.507
0.6538	19.023	14.278
0.67451	20.253	13.805
0.60666	21.525	13.716
0.77121	22.884	13.842
0.6483	24.294	13.75
0.72761	25.816	13.73
0.66099	27.239	13.939
0.7483	28.661	13.992
0.78321	30.181	14.121
0.76393	31.688	14.44
0.72027	33.162	14.429
0.69595	34.552	14.676
0.84295	36.263	14.908
0.63283	37.702	14.612
0.73094	38.721	13.725
0.80524	40.252	13.765
0.71344	42.853	14.193
0.72562	44.244	13.835
0.76484	45.716	13.633
0.74648	47.221	13.556
0.71918	48.676	13.459
0.73543	50.122	13.558
0.75557	51.591	13.765
0.67617	53.012	13.799
0.77179	54.637	13.679
0.62959	56.02	13.907
0.67859	57.232	13.413
0.63566	58.532	13.513
0.731	58.987	14.794
0.61373	60.33	14.84
0.65462	61.597	14.852
0.72928	62.862	14.316
0.71122	64.295	14.199
0.70292	65.706	14.168
0.56448	66.969	14.194
0.70448	68.23	14.151
0.72589	69.644	13.982
0.78685	71.141	13.797
0.64944	72.536	13.457
0.65194	73.825	13.285
0.58305	75.031	13.034
0.83712	76.433	13.176
0.69972	77.941	13.401
0.71246	79.213	13.997
0.81929	80.717	13.747
0.70175	82.215	13.995
0.67304	83.886	14.023
0.69344	85.248	14.065
0.78272	86.792	13.776
0.71214	88.277	13.754
0.64358	89.618	13.86
0.6735	91.485	13.782
0.73569	93.792	13.271
0.61818	95.35	15.001
0.64265	96.091	13.985
0.68146	97.4	13.754
0.79406	98.866	13.534
0.81763	0.82976	15.957
0.71487	2.2869	15.372
0.74445	3.6093	14.548
0.62651	4.9924	15.036
0.67253	6.2538	15.333
0.76454	7.5137	14.647
0.59857	9.6852	14.813
0.72548	11.004	14.854
0.54176	12.061	15.546
0.78059	13.368	15.381
0.78937	14.886	15.716
0.65963	16.289	15.414
0.64569	16.653	14.176
0.80797	17.797	15.062
0.65004	19.735	15.362
0.72898	21.045	14.955
0.60972	22.369	15.121
0.63309	23.606	15.035
0.71215	24.945	14.937
0.73233	26.375	15.059
0.76642	27.835	15.253
0.71569	29.292	15.315
0.73152	30.704	15.547
0.79372	32.168	15.92
0.72276	33.664	15.775
0.75737	35.112	16.011
0.64374	37.595	15.867
0.75837	38.961	15.19
0.75872	40.466	15.308
0.64268	41.532	14.417
0.71835	43.676	15.345
0.76409	45.114	15.03
0.78071	46.649	14.968
0.65975	48.055	14.683
0.73943	49.441	14.862
0.70501	50.873	15.022
0.78688	52.362	15.097
0.67089	53.818	14.864
0.76861	55.236	15.096
0.6022	56.532	15.531
0.70175	57.56	14.741
0.59475	58.2	15.859
0.60511	59.382	16.059
0.76536	60.909	16.082
