#MaxRadius:0.89998	MaxHeight:89.443	MaxLength:447.21
21468
0.74255	322.44	0.7398
0.66787	323.85	0.667
0.69339	325.27	0.691
0.59555	326.55	0.59538
0.64398	327.79	0.6418
0.79748	329.22	0.79439
0.77247	330.78	0.77204
0.76335	332.31	0.76056
0.75525	333.83	0.75337
0.6457	335.22	0.77632
0.69543	336.56	0.69409
0.76273	338.01	0.7601
0.72284	339.49	0.72019
0.80496	341.01	0.8011
0.69513	342.5	0.69406
0.72185	343.91	0.7189
0.7052	345.32	0.70433
0.80788	346.8	0.98045
0.7936	348.38	0.78679
0.75939	349.93	0.7569
0.70318	351.39	0.70242
0.65476	352.78	0.65475
0.72842	354.34	0.72307
0.68898	355.75	0.68732
0.71737	357.15	0.7218
0.65136	358.52	0.69066
0.74398	359.91	0.73366
0.73064	361.37	0.76107
0.66577	362.76	0.86178
0.59782	363.98	0.59557
0.60013	365.17	0.59788
0.65321	366.41	0.65263
0.84156	367.89	0.83948
0.66747	369.38	0.66596
0.77863	370.81	0.77297
0.71268	372.29	0.70955
0.67812	373.68	0.67685
0.65467	375.11	0.65151
0.76014	376.52	0.75781
0.62989	377.91	0.62988
0.81169	379.36	0.8104
0.60978	380.77	0.60975
0.71596	382.09	0.71156
0.74783	383.69	0.74146
0.71502	385.15	0.71115
0.73367	386.59	0.73
0.70447	388.02	0.72292
0.63621	389.36	0.63576
0.75064	390.74	0.74858
0.69437	392.18	0.69381
0.77436	393.85	0.77253
0.53939	395.13	0.53854
0.77398	396.42	0.76504
0.63538	397.82	0.63502
0.68605	399.14	0.68511
0.74961	400.57	0.74606
0.69056	402.01	0.68812
0.64818	403.35	0.64815
0.67666	404.67	0.67389
0.76153	406.1	0.75946
0.7065	407.56	0.70257
0.65668	408.92	0.6563
0.70356	410.27	0.7014
0.66574	411.62	0.91084
0.70407	412.96	0.70243
0.83216	414.48	0.82837
0.73679	416.04	0.73321
0.75021	417.52	0.7464
0.84403	419.11	0.84105
0.7956	420.75	0.79486
0.83449	422.37	0.82871
0.62171	423.81	0.61883
0.57569	425	0.57451
0.57261	426.14	0.57293
0.65055	427.36	0.6475
0.5852	428.58	0.80309
0.62708	429.78	0.6235
0.73844	431.14	0.735
0.57279	432.43	0.57182
0.79625	433.78	0.79478
0.71469	435.42	0.71431
0.67068	436.8	0.67023
0.66893	438.14	0.66339
0.74902	439.55	0.74591
0.79845	441.09	0.79456
0.63212	442.52	0.63211
0.73586	444.06	0.7354
0.75023	445.54	0.74724
0.69614	446.98	0.696
0.75033	1.2031	2.1198
0.6843	2.6344	2.1326
0.73635	4.0388	1.9719
0.69972	5.439	2.248
0.81889	6.9303	2.0013
0.68554	8.4143	2.1506
0.78388	9.8602	1.9595
0.67722	11.303	2.1008
0.77229	12.799	2.2989
0.75436	14.311	2.0987
0.59857	15.727	2.0958
0.58818	16.906	1.962
0.62993	18.057	2.3549
0.84309	19.483	1.9937
0.73091	21.005	2.356
0.55454	22.189	1.8774
0.78318	23.505	2.0746
0.62286	24.909	2.055
0.68201	26.211	2.0618
0.79075	27.676	1.9847
0.7177	29.184	1.9421
0.75611	30.654	2.0338
0.71177	32.111	2.2022
0.69186	33.478	1.9032
0.77185	34.921	2.1226
0.67099	36.345	2.3366
0.72754	37.703	2.0214
0.68294	39.108	1.9182
0.70867	41.726	2.0579
0.6316	43.054	1.9533
0.74182	44.409	2.1162
0.69049	45.787	1.7463
0.69457	47.149	1.9564
0.76466	48.521	2.4418
0.81845	50.085	2.2278
0.68605	51.572	2.0684
0.5486	52.789	1.917
0.85803	54.173	2.1174
0.5661	55.583	1.9244
0.68034	56.85	2.102
0.73575	58.262	2.2068
0.72455	59.699	1.9504
0.80885	61.184	2.3018
0.78038	62.741	2.0183
0.68779	64.188	2.2078
0.74745	65.612	2.0975
0.73029	67.035	1.7355
0.68453	68.479	1.7111
0.54403	69.695	1.874
0.65394	70.889	1.9509
0.77569	72.317	2.1185
0.54438	73.607	1.8484
0.61686	74.764	1.8685
0.60516	75.976	1.9771
0.8274	77.396	2.1222
0.78906	79.009	2.1209
0.60046	80.388	1.9825
0.59984	81.581	1.9636
0.75206	82.861	2.3698
0.71813	84.317	2.2628
0.67035	85.687	2.0944
0.62695	86.969	2.2246
0.62233	88.197	2.0475
0.73758	89.545	2.1289
0.6976	90.956	2.3287
0.67603	92.319	2.2631
0.66208	93.642	2.1366
0.63515	94.929	2.1878
0.71974	96.268	2.0478
0.65127	97.63	1.9652
0.78124	99.044	2.1531
0.58146	100.39	1.9744
0.67924	101.94	2.0128
0.66995	103.29	1.9754
0.64967	104.6	1.9132
0.62212	105.87	1.9633
0.74037	107.23	1.9484
0.76303	108.72	2.0897
0.54755	109.96	1.6583
0.59938	111.06	1.9399
0.64863	112.26	2.2389
0.71476	113.61	2.0146
0.68642	115.01	2.0237
0.82322	116.46	2.4037
0.5951	117.86	2.2147
0.66129	119.1	2.0126
0.71738	120.53	1.7623
0.71804	121.87	2.2722
0.70629	123.28	2.132
0.68312	124.66	2.1902
0.7019	126.04	2.1539
0.65773	127.44	2.0992
0.7611	128.86	2.0161
0.72657	130.47	2.0032
0.65546	131.86	2.0051
0.63945	133.37	2.0379
0.61667	134.64	1.8616
0.70792	135.53	2.8583
0.64353	136.46	1.877
0.65735	137.74	2.0745
0.66336	139.15	2.1487
0.67468	140.67	1.9212
0.68408	142.02	2.0798
0.64433	143.33	2.2384
0.63785	144.6	2.0904
0.68737	145.92	1.966
0.63315	147.23	2.1031
0.74746	148.69	2.0426
0.73218	150.16	1.9461
0.67926	151.57	1.9559
0.62932	152.86	1.7752
0.72674	154.21	1.8217
0.67401	155.6	1.9033
0.5123	156.79	1.8873
0.81146	158.1	2.0259
0.62079	159.57	2.0966
0.80224	161.02	2.0944
0.66601	162.47	2.3264
0.75237	163.85	2.0377
0.59576	165.16	2.3275
0.71531	166.8	2.3326
0.64615	168.08	1.8711
0.61015	169.34	1.8565
0.73423	171.01	2.0285
0.71719	172.54	1.908
0.74262	173.98	2.113
0.624	175.34	2.0437
0.75006	176.72	2.1135
0.6604	178.28	1.9373
0.64855	179.65	1.8888
0.81183	181.1	2.0361
0.69508	182.61	2.0159
0.7233	184.23	1.7234
0.75926	185.34	2.697
0.71437	186.57	1.9044
0.67263	187.94	2.0306
0.63761	189.24	1.8978
0.76583	190.64	1.9889
0.55746	191.95	1.8377
0.63855	193.35	2.0237
0.77919	194.83	2.1456
0.76978	196.38	2.0487
0.64886	197.79	2.0049
0.61991	199.05	1.8888
0.62493	200.28	1.7031
0.70373	201.63	1.8639
0.67218	203	1.9197
0.73733	204.43	1.9637
0.72327	205.91	1.7925
0.52626	207.11	2.144
0.52086	208.17	1.8405
0.72021	209.44	1.8398
0.7675	210.93	1.9008
0.74797	212.39	2.2511
0.70578	213.79	1.8898
0.69686	215.19	1.8051
0.69745	216.63	1.9163
0.58269	217.97	1.6118
0.70887	219.07	2.2731
0.62736	220.35	1.9125
0.82023	221.79	2.0658
0.8181	223.4	2.3043
0.65454	224.83	1.9569
0.58454	226.06	1.831
0.60063	227.67	1.8599
0.68125	228.94	1.9724
0.71019	230.3	2.2504
0.6214	231.6	1.9948
0.82303	233.04	2.1165
0.81845	234.67	2.1365
0.71101	236.2	2.048
0.68636	237.59	2.1262
0.81299	239.12	2.1609
0.71796	240.61	1.8283
0.69979	241.94	2.3046
0.70741	243.34	2.1313
0.66792	244.71	2.0124
0.72896	246.1	2.1174
0.65963	247.48	1.9683
0.68729	248.81	2.2013
0.55983	250.16	1.8975
0.7283	251.69	2.0625
0.61259	253.02	2.2207
0.68879	254.3	1.9921
0.79042	255.71	2.3893
0.77782	257.22	1.9716
0.69051	258.67	2.1281
0.63384	259.98	2.0739
0.63077	261.22	2.1933
0.80947	262.64	2.046
0.72246	264.1	2.4298
0.66821	265.47	2.2386
0.74274	266.87	2.0544
0.78084	268.36	1.8293
0.6114	269.74	2.0107
0.75308	271.09	2.1942
0.66971	272.48	1.9507
0.80295	273.92	2.2283
0.81739	275.54	2.162
0.69925	277.04	2.0539
0.74652	278.47	2.151
0.70107	279.91	2.1777
0.72178	281.33	2.1877
0.74556	282.79	2.1988
0.67132	284.19	2.1274
0.64649	285.5	2.2502
0.59196	286.74	2.3545
0.77753	288.1	2.117
0.6492	289.59	1.9578
0.69683	290.99	2.0657
0.65991	292.33	1.9013
0.76946	293.75	1.9425
0.65659	295.16	1.8385
0.77737	296.58	1.9448
0.7475	298.09	1.9784
0.8052	299.63	1.9655
0.7065	301.14	2.0099
0.6996	302.54	1.8987
0.75897	303.93	2.3082
0.71132	305.35	1.9452
0.67954	306.68	2.3252
0.74325	308.1	2.2722
0.67182	309.51	2.1682
0.76194	311.25	1.8949
0.77155	313.32	2.0254
0.62507	314.71	1.9379
0.59823	315.92	2.106
0.75834	317.29	1.9564
0.66924	318.7	2.1587
0.80461	320.15	1.952
0.69471	321.64	1.9475
0.73944	323.06	2.0823
0.7338	324.52	1.8985
0.66196	325.91	1.8865
0.77315	327.33	1.979
0.80129	328.86	2.3457
0.66546	330.3	2.1262
0.64458	331.6	1.9751
0.85273	333.08	2.1743
0.7278	334.66	2.0258
0.65638	336.04	1.9386
0.5874	337.28	1.8914
0.78275	338.83	2.067
0.62413	340.23	1.9936
0.77173	341.6	2.2577
0.79948	343.16	2.0344
0.69353	344.64	1.927
0.67326	345.98	2.207
0.71889	346.93	3.2232
0.67311	347.76	2.1111
0.7635	349.19	2.1042
0.74493	350.69	2.0506
0.60034	352.02	1.842
0.84975	353.45	2.0119
0.69253	354.99	1.9865
0.71433	356.39	1.9339
0.65111	357.75	1.9534
0.70564	359.1	1.9159
0.71355	360.51	2.0593
0.62438	361.85	2.0282
0.65797	363.13	2.129
0.81563	364.57	1.8764
0.54142	365.92	1.7414
0.75582	367.12	2.2378
0.65573	368.53	2.1865
0.73001	369.89	1.9626
0.75898	371.63	2.0666
0.66028	373.02	1.8693
0.7671	374.44	1.8983
0.65273	375.83	2.1212
0.70896	377.19	2.0607
0.6487	378.53	2.0098
0.81726	379.95	2.3513
0.6979	381.4	1.9363
0.75799	382.85	1.9731
0.62923	384.27	1.9916
0.8066	385.7	2.1213
0.6498	387.33	1.8861
0.70108	388.67	1.9879
0.69334	390.06	2.0202
0.75568	391.5	2.0429
0.66521	392.9	1.8485
0.55921	394.38	1.9904
0.67138	395.61	1.9479
0.65313	397.02	2.051
0.74589	398.41	1.9152
0.63862	399.8	1.8963
0.74817	401.28	2.0574
0.72598	402.74	1.8953
0.62059	404.08	1.8184
0.58352	405.29	1.8375
0.6589	406.93	1.9089
0.72834	408.31	1.9502
0.63248	409.67	1.8862
0.6552	410.94	2.0429
0.76504	412.36	2.1332
0.74667	413.86	2.2797
0.70732	415.31	2.1111
0.68224	416.69	1.9839
0.78438	418.14	2.1412
0.69301	419.59	2.3812
0.67659	420.95	2.2521
0.75231	422.36	2.4031
0.75568	423.8	1.9918
0.63984	425.17	1.7752
0.6938	426.5	1.7869
0.69964	427.89	1.8833
0.7515	429.34	1.9214
0.62332	430.7	2.0212
0.68801	432	1.8639
0.72798	433.29	2.443
0.7801	434.74	2.0439
0.7249	436.23	1.9426
0.7736	437.72	2.0324
0.76692	439.24	2.2227
0.68446	440.65	2.5249
0.75277	441.99	2.0465
0.686	443.42	2.0005
0.74071	444.83	2.0549
0.72524	446.29	2.0172
0.70505	0.69528	3.4765
0.62487	1.9947	3.2659
0.75877	3.4206	3.3398
0.72049	4.8611	3.6732
0.72528	6.2787	3.3943
0.59632	7.6395	3.2241
0.64745	8.8711	3.3924
0.83934	10.342	3.5746
0.65368	11.809	3.3202
0.67933	13.071	3.7242
0.69493	14.427	3.5412
0.77682	15.892	3.4559
0.82732	17.472	3.6883
