#MaxRadius:0.89956	MaxHeight:62.56	MaxLength:78.2
2634
0.81317	6.5848	5.9737
0.77393	8.0824	6.4916
0.64716	9.4632	6.0047
0.74614	10.855	6.0004
0.54439	12.107	5.6936
0.73433	13.339	6.0303
0.64326	14.707	6.1769
0.80052	16.119	5.8841
0.70486	17.616	6.0069
0.72311	19.464	6.1339
0.78321	20.833	6.7463
0.77591	22.27	6.1545
0.62722	23.478	6.8884
0.6211	24.667	6.5309
0.58701	25.689	5.902
0.67335	26.814	6.452
0.73431	28.127	6.942
0.63421	29.567	6.2609
0.74396	30.802	5.6547
0.85653	32.339	6.0855
0.60468	33.926	6.0477
0.74905	35.256	5.8187
0.7939	36.796	5.8626
0.60286	38.183	5.9613
0.57257	39.35	5.8934
0.77226	42.132	5.8693
0.66961	43.459	6.4265
0.65905	44.192	5.0909
0.69531	45.966	5.5407
0.56406	47.04	6.1895
0.66768	48.132	5.6271
0.77206	49.393	6.3178
0.73795	50.881	5.9465
0.72007	52.261	6.4145
0.58883	53.271	5.5868
0.65657	54.499	5.7928
0.63317	55.847	6.0557
0.58092	56.985	5.6507
0.62922	58.185	5.731
0.58804	59.38	5.5401
0.80673	60.6	6.1953
0.81256	62.186	5.9258
0.68236	63.671	6.062
0.61847	65.21	5.9877
0.67182	66.636	5.9111
0.67568	67.997	5.9259
0.65956	69.667	6.0323
0.70751	70.954	5.5898
0.6396	72.414	5.574
0.72374	73.809	5.6918
0.72705	75.337	5.7446
0.76152	76.82	5.8438
0.61158	78.115	5.3922
0.75359	0.74963	8.223
0.52054	2.8622	6.4102
0.72958	3.9936	6.9412
0.66632	5.6719	7.1339
0.69557	6.9875	7.4712
0.68996	8.2899	7.9334
0.80738	9.6995	7.4379
0.71192	11.215	7.4123
0.67216	12.58	7.2111
0.73493	13.978	7.3441
0.81929	15.523	7.3872
0.74585	17.079	7.3456
0.65993	18.458	7.0792
0.63374	19.664	7.5475
0.779	20.922	8.2951
0.77193	22.344	7.6943
0.71132	24.511	7.8507
0.6608	25.736	7.2334
0.71894	26.979	7.8309
0.73127	28.209	8.5958
0.63482	29.366	7.5072
0.69261	30.617	7.0764
0.76229	31.948	7.6543
0.73222	33.39	7.2677
0.69823	34.815	7.1959
0.69681	36.207	7.2253
0.71114	37.608	7.1418
0.74616	39.061	7.1735
0.80071	40.619	6.4105
0.76375	41.85	7.3689
0.68311	44.8	6.2732
0.71345	46.014	6.9463
0.7659	48.048	7.0525
0.66812	49.289	7.7579
0.60639	50.434	7.2124
0.62423	51.598	7.5799
